companyInternationalName,companyIdentifier,primaryIndustryType,primaryIndustryCode,entityLegalForm,largeFirm,primaryCountry,primaryStateProvince,recommendedModel,financialStatementDate,currency,units,statementType,regulatoryFilingType,auditQuality,reportingPeriod,cashAndMarketableSecurities,totalAccountsReceivable,totalInventory,totalCurrentAssets,totalAccumulatedDepreciation,totalFixedAssets,totalIntangibleAssets,totalAssets,notesPayable,debtCurrentMaturities,shortTermDebt,totalAccountsPayable,totalCurrentLiabilities,totalLongTermDebt,totalNonCurrentLiabilities,totalProvisions,totalLiabilities,retainedEarnings,netWorth,netSales,totalCostOfGoodsSold,grossIncome,totalWageExpense,totalAmortizationAndDepreciation,totalOperatingExpense,totalOperatingProfit,financeCosts,profitBeforeTaxesAndExtraordinaryExpenses,currentIncomeTaxExpense,totalExtraordinaryItems,netIncome,ebitda
TOYOTA OF HOLLYWOOD  04102,T001T04102,NAICS,4411,,,USA,CA,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,-239.894,,6922.269,,,,,24756.688,,,,,9153.918,,,,,1974.787,,105507.934,,,,749.495,,2892.266,2.817,,,,2124.34,
TOYOTA OF HOLLYWOOD  04102,T001T04102,NAICS,4411,,,USA,CA,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,78916.899,,,,,,2004.079,,,,,,
NEW COUNTRY MOTOR CARS GROUP  00659  10K 10Q,T001T00659,NAICS,4411,,,USA,TX,UDS 4.0,2024-09-30,USD,Thousands,Consolidated,US GAAP,Audited,Annual,56139.0,,404529.0,,,,,1206546.0,,,,,443483.0,,,,,141769.0,,3403726.0,,,,19817.0,,307460.0,11078.0,,,,275188.0,
NEW COUNTRY MOTOR CARS GROUP  00659  10K 10Q,T001T00659,NAICS,4411,,,USA,TX,UDS 4.0,2023-09-30,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,2717969.0,,,,,,149236.0,,,,,,
TOYOTA WORLD OF NEWTON  29100,T001T29100,NAICS,4411,,,USA,NJ,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,5033.713,,2676.406,,,,,17331.762,,,,,5401.734,,,,,1246.459,,47260.136,,,,134.509,,-165.875,77.283,,,,1194.434,
TOYOTA WORLD OF NEWTON  29100,T001T29100,NAICS,4411,,,USA,NJ,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,45185.577,,,,,,528.815,,,,,,
DUNDEE FORD  12820,T001T12820,NAICS,4411,,,USA,IL,UDS 4.0,2023-02-28,USD,Thousands,Consolidated,US GAAP,Audited,Annual,599.41,,5234.052,,,,,10333.582,,,,,4865.478,,,,,324.123,,30938.794,,,,139.218,,718.278,247.46,,,,869.169,
DUNDEE FORD  12820,T001T12820,NAICS,4411,,,USA,IL,UDS 4.0,2022-02-28,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,33978.566,,,,,,331.708,,,,,,
PUENTE HILLS TOYOTA  04115,T001T04115,NAICS,4411,,,USA,CA,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,1831.263,,5131.481,,,,,60761.631,,,,,8224.316,,,,,25698.439,,174391.459,,,,1191.152,,5020.493,422.281,,,,6437.58,
PUENTE HILLS TOYOTA  04115,T001T04115,NAICS,4411,,,USA,CA,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,178386.408,,,,,,7524.236,,,,,,
TOYOTA OF GALLATIN  41083,T001T41083,NAICS,4411,,,USA,TN,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,1453.065,,8623.442,,,,,26457.905,,,,,11436.829,,,,,3205.23,,147705.094,,,,447.982,,1931.279,284.737,,,,6643.845,
TOYOTA OF GALLATIN  41083,T001T41083,NAICS,4411,,,USA,TN,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,124055.114,,,,,,2203.607,,,,,,
CHARLIE S TOYOTA  18033,T001T18033,NAICS,4411,,,USA,ME,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,12188.538,,6557.287,,,,,21480.821,,,,,2144.411,,,,,16162.254,,82540.838,,,,537.222,,3699.903,437.539,,,,5794.746,
CHARLIE S TOYOTA  18033,T001T18033,NAICS,4411,,,USA,ME,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,76609.736,,,,,,4378.803,,,,,,
DIEHL TOYOTA OF HERMITAGE  37198,T001T37198,NAICS,4411,,,USA,PA,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,1568.85,,7531.719,,,,,23472.678,,,,,9145.788,,,,,3648.852,,68324.859,,,,187.443,,-2081.777,446.571,,,,842.252,
DIEHL TOYOTA OF HERMITAGE  37198,T001T37198,NAICS,4411,,,USA,PA,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,64230.307,,,,,,-1123.906,,,,,,
KEYES MOTORS  00444  10K 10Q,T001T00444,NAICS,4411,,,USA,CA,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,16783.226,,13029.522,,,,,46797.276,,,,,17814.848,,,,,21233.08,,75719.56,,,,1688.473,,14604.721,1302.793,,,,29643.672,
KEYES MOTORS  00444  10K 10Q,T001T00444,NAICS,4411,,,USA,CA,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,979412.147,,,,,,21235.553,,,,,,
REEDER CHEVROLET  41703,T001T41703,NAICS,4411,,,USA,TN,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,3641.517,,13931.726,,,,,48871.891,,,,,16130.301,,,,,2020.846,,97738.34,,,,267.664,,1042.584,327.4,,,,3459.832,
STEVINSON LEXUS LAKEWOOD  60501  FREDERICK  60531,T001T60501,NAICS,4411,,,USA,CO,UDS 4.0,2021-11-30,USD,Thousands,Consolidated,US GAAP,Audited,Annual,4120.187,,6583.477,,,,,21330.842,,,,,10708.6,,,,,11430.236,,203286.093,,,,2245.561,,6035.714,2124.526,,,,12254.883,
STEVINSON LEXUS LAKEWOOD  60501  FREDERICK  60531,T001T60501,NAICS,4411,,,USA,CO,UDS 4.0,2020-11-30,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,176400.243,,,,,,459.046,,,,,,
PRICE LEBLANC LEXUS  61704,T001T61704,NAICS,4411,,,USA,LA,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,2451.994,,5202.445,,,,,28128.899,,,,,17991.752,,,,,20988.201,,140732.939,,,,1581.407,,7743.928,1205.777,,,,13731.434,
PRICE LEBLANC LEXUS  61704,T001T61704,NAICS,4411,,,USA,LA,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,140951.499,,,,,,8634.461,,,,,,
