companyInternationalName,companyIdentifier,primaryIndustryType,primaryIndustryCode,entityLegalForm,largeFirm,primaryCountry,primaryStateProvince,recommendedModel,financialStatementDate,currency,units,statementType,regulatoryFilingType,auditQuality,reportingPeriod,cashAndMarketableSecurities,totalAccountsReceivable,totalInventory,totalCurrentAssets,totalAccumulatedDepreciation,totalFixedAssets,totalIntangibleAssets,totalAssets,notesPayable,debtCurrentMaturities,shortTermDebt,totalAccountsPayable,totalCurrentLiabilities,totalLongTermDebt,totalNonCurrentLiabilities,totalProvisions,totalLiabilities,retainedEarnings,netWorth,netSales,totalCostOfGoodsSold,grossIncome,totalWageExpense,totalAmortizationAndDepreciation,totalOperatingExpense,totalOperatingProfit,financeCosts,profitBeforeTaxesAndExtraordinaryExpenses,currentIncomeTaxExpense,totalExtraordinaryItems,netIncome,ebitda
AUDI WILSONVILLE  36814,T001T36814,NAICS,4411,,,USA,OR,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,282.217,,6637.94,,,,,37437.418,,,,,9625.538,,,,,11729.165,,75326.212,,,,256.22,,-2873.445,190.482,,,,754.657,
AUDI WILSONVILLE  36814,T001T36814,NAICS,4411,,,USA,OR,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,86425.386,,,,,,-1526.114,,,,,,
HERRIN GEAR INFINITI  23803,T001T23803,NAICS,4411,,,USA,MS,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,731.549,,10121.195,,,,,23704.394,,,,,10077.489,,,,,8875.984,,50518.66,,,,123.065,,285.733,44.693,,,,2117.291,
HERRIN GEAR INFINITI  23803,T001T23803,NAICS,4411,,,USA,MS,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,43503.82,,,,,,-404.018,,,,,,
FREMONT TOYOTA  49029,T001T49029,NAICS,4411,,,USA,WY,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,882.07,,2816.636,,,,,7755.794,,,,,2451.101,,,,,4665.504,,26367.793,,,,43.661,,208.115,41.692,,,,751.656,
FREMONT TOYOTA  49029,T001T49029,NAICS,4411,,,USA,WY,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,28697.648,,,,,,447.756,,,,,,
HERITAGE FORD  44996,T001T44996,NAICS,4411,,,USA,VT,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,8333.517,,9806.108,,,,,23950.852,,,,,10826.249,,,,,6906.114,,68264.876,,,,643.034,,25.857,200.244,,,,945.988,
HERITAGE FORD  44996,T001T44996,NAICS,4411,,,USA,VT,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,77091.634,,,,,,806.087,,,,,,
UMANSKY CH DG JP RM CHARLOTTESVILLE  45903,T001T45903,NAICS,4411,,,USA,VA,UDS 4.0,2023-02-28,USD,Thousands,Consolidated,US GAAP,Audited,Annual,656.347,,2031.949,,,,,4283.276,,,,,1984.526,,,,,0.002,,19603.338,,,,38.389,,-343.476,10.865,,,,265.81,
UMANSKY CH DG JP RM CHARLOTTESVILLE  45903,T001T45903,NAICS,4411,,,USA,VA,UDS 4.0,2022-02-28,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,22658.83,,,,,,116.861,,,,,,
MOSES TOYOTA OF MORGANTOWN  47036  MOSES MITSUBISHI  47500,T001T47036,NAICS,4411,,,USA,WV,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,542.629,,7296.898,,,,,19841.164,,,,,7386.961,,,,,-97.792,,80799.652,,,,331.088,,-197.124,272.212,,,,2394.22,
ACURA OF THE DESERT  54999,T001T54999,NAICS,4411,,,USA,CA,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,55.126,,2912.93,,,,,4950.887,,,,,3096.687,,,,,3735.145,,19745.015,,,,108.394,,-150.195,66.705,,,,569.275,
ACURA OF THE DESERT  54999,T001T54999,NAICS,4411,,,USA,CA,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,19788.934,,,,,,-241.252,,,,,,
CHEVROLET OF WAYZATA  22931,T001T22931,NAICS,4411,,,USA,MN,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,1291.631,,8521.695,,,,,19505.363,,,,,7415.766,,,,,0.0,,69667.154,,,,322.1,,688.614,120.804,,,,989.761,
CHEVROLET OF WAYZATA  22931,T001T22931,NAICS,4411,,,USA,MN,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,72480.61,,,,,,2478.372,,,,,,
TOYOTA OF ASHLAND  16065,T001T16065,NAICS,4411,,,USA,KY,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,1496.098,,3499.73,,,,,6819.007,,,,,2045.103,,,,,7901.192,,44565.521,,,,112.38,,1455.818,111.73,,,,2374.464,
TOYOTA OF ASHLAND  16065,T001T16065,NAICS,4411,,,USA,KY,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,43807.239,,,,,,2124.477,,,,,,
LEXUS OF CONCORD  LLC  60428,T001T60428,NAICS,4411,,,USA,CA,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,10234.804,,4591.468,,,,,43609.617,,,,,10443.551,,,,,15333.427,,136932.55,,,,1188.048,,3548.2,1010.819,,,,8105.849,
LEXUS OF CONCORD  LLC  60428,T001T60428,NAICS,4411,,,USA,CA,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,130922.384,,,,,,3773.52,,,,,,
WOLVERINE TOYOTA,T001T21113,NAICS,4411,,,USA,MI,UDS 4.0,2022-10-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,2690.41,,1340.884,,,,,4856.279,,,,,1629.265,,,,,-4202.986,,41320.1904,,,,267.174,,506.0712,234.8172,,,,1443.222,
WOLVERINE TOYOTA,T001T21113,NAICS,4411,,,USA,MI,UDS 4.0,2021-10-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,35750.561,,,,,,209.492,,,,,,
BATTLEFIELD TOYOTA  45086,T001T45086,NAICS,4411,,,USA,VA,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,3182.34,,3385.31,,,,,9174.512,,,,,4917.296,,,,,9264.86,,60800.805,,,,467.992,,712.313,143.555,,,,3684.902,
BATTLEFIELD TOYOTA  45086,T001T45086,NAICS,4411,,,USA,VA,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,53260.872,,,,,,1003.351,,,,,,
LARRY H MILLER TOYOTA COLORADO SPRINGS  05066,T001T05066,NAICS,4411,,,USA,CO,UDS 4.0,2021-10-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,2213.286,,2699.711,,,,,7515.308,,,,,3122.746,,,,,-146.333,,98510.713,,,,664.265,,5048.997,459.468,,,,6214.403,
LARRY H MILLER TOYOTA COLORADO SPRINGS  05066,T001T05066,NAICS,4411,,,USA,CO,UDS 4.0,2020-10-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,78745.87,,,,,,1731.589,,,,,,
OAK LAWN TOYOTA  12100,T001T12100,NAICS,4411,,,USA,IL,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,983.159,,3821.199,,,,,7215.279,,,,,3208.987,,,,,3783.316,,50024.274,,,,173.28,,859.914,88.634,,,,727.286,
OAK LAWN TOYOTA  12100,T001T12100,NAICS,4411,,,USA,IL,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,52344.823,,,,,,1457.438,,,,,,
HANLEES FAIRFIELD TOYOTA  04253,T001T04253,NAICS,4411,,,USA,CA,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,2627.174,,2901.248,,,,,27042.885,,,,,9098.663,,,,,8334.642,,82195.291,,,,1120.791,,699.181,269.154,,,,3269.413,
HANLEES FAIRFIELD TOYOTA  04253,T001T04253,NAICS,4411,,,USA,CA,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,71645.818,,,,,,1089.495,,,,,,
STAPP INTERSTATE TOYOTA  INC   05043,T001T05043,NAICS,4411,,,USA,CO,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,3490.607,,3807.991,,,,,11987.379,,,,,9155.142,,,,,620.63,,93559.708,,,,384.96,,2591.344,56.447,,,,3885.887,
STAPP INTERSTATE TOYOTA  INC   05043,T001T05043,NAICS,4411,,,USA,CO,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,96342.409,,,,,,3762.256,,,,,,
NISSAN OF SAN BERNARDINO  54836,T001T54836,NAICS,4411,,,USA,CA,UDS 4.0,2022-12-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,2454.099,,4445.024,,,,,8909.437,,,,,3356.934,,,,,834.878,,26476.203,,,,132.738,,-1598.978,113.318,,,,0.0,
NISSAN OF SAN BERNARDINO  54836,T001T54836,NAICS,4411,,,USA,CA,UDS 4.0,2021-12-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,28077.173,,,,,,-664.152,,,,,,
TOYOTA OF SCRANTON  37176,T001T37176,NAICS,4411,,,USA,PA,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,4049.993,,6974.005,,,,,25461.29,,,,,7353.465,,,,,14557.751,,145100.797,,,,640.285,,2820.739,398.651,,,,8226.431,
TOYOTA OF SCRANTON  37176,T001T37176,NAICS,4411,,,USA,PA,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,151677.277,,,,,,4428.372,,,,,,
KIA OF MARIN  54639,T001T54639,NAICS,4411,,,USA,CA,UDS 4.0,2023-09-30,USD,Thousands,Consolidated,US GAAP,Audited,Annual,1020.843,,1045.621,,,,,2885.175,,,,,1041.605,,,,,3654.98,,20010.524,,,,9.959,,988.718,66.74,,,,1410.625,
KIA OF MARIN  54639,T001T54639,NAICS,4411,,,USA,CA,UDS 4.0,2022-09-30,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,21566.706,,,,,,1932.69,,,,,,
MITCHELL TOYOTA  42192,T001T42192,NAICS,4411,,,USA,TX,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,17325.79,,4529.698,,,,,26790.452,,,,,3476.089,,,,,23641.726,,55097.075,,,,196.825,,2166.178,103.981,,,,1805.131,
MITCHELL TOYOTA  42192,T001T42192,NAICS,4411,,,USA,TX,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,57835.719,,,,,,2353.449,,,,,,
BILL PAGE TOYOTA  45016,T001T45016,NAICS,4411,,,USA,VA,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,7493.24,,4213.622,,,,,15410.57,,,,,2913.227,,,,,7532.057,,100478.054,,,,607.075,,-1107.557,279.722,,,,3302.699,
BILL PAGE TOYOTA  45016,T001T45016,NAICS,4411,,,USA,VA,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,95907.548,,,,,,-780.612,,,,,,
DAN PORTER HONDA TOYOTA  33024 33888,T001T33024,NAICS,4411,,,USA,ND,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,4090.372,,5062.491,,,,,9985.371,,,,,1303.542,,,,,7741.627,,36470.125,,,,160.715,,1641.064,122.503,,,,2135.786,
DAN PORTER HONDA TOYOTA  33024 33888,T001T33024,NAICS,4411,,,USA,ND,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,37156.415,,,,,,1759.131,,,,,,
KINGS TOYOTA  34085,T001T34085,NAICS,4411,,,USA,OH,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,13437.92,,14331.337,,,,,36762.159,,,,,21955.141,,,,,17749.287,,234554.276,,,,665.459,,3613.501,127.159,,,,9471.569,
KINGS TOYOTA  34085,T001T34085,NAICS,4411,,,USA,OH,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,228982.578,,,,,,4883.699,,,,,,
TOYOTA OF CLEVELAND  41056,T001T41056,NAICS,4411,,,USA,TN,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,-221.157,,7013.831,,,,,13848.611,,,,,8583.121,,,,,38237.03,,124346.975,,,,249.471,,-1522.267,145.272,,,,5962.79,
TOYOTA OF CLEVELAND  41056,T001T41056,NAICS,4411,,,USA,TN,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,124081.064,,,,,,-3395.082,,,,,,
MILEONE REAL ESTATE  00738  10K 10Q,T001T00738,NAICS,4411,,,USA,TX,UDS 4.0,2024-09-30,USD,Thousands,Consolidated,US GAAP,Audited,Annual,433.0,,,,,,,149689.0,,,,,4384.0,,,,,50927.0,,,,,,2116.0,,-7245.333333333,4782.666666667,,,,17942.666666667,
MILEONE REAL ESTATE  00738  10K 10Q,T001T00738,NAICS,4411,,,USA,TX,UDS 4.0,2023-09-30,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,-8045.333333333,,,,,,
EVANS TOYOTA  13035,T001T13035,NAICS,4411,,,USA,IN,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,2748.268,,4519.108,,,,,14134.578,,,,,4868.684,,,,,8843.82,,61943.782,,,,236.439,,426.699,126.781,,,,1773.29,
EVANS TOYOTA  13035,T001T13035,NAICS,4411,,,USA,IN,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,59514.708,,,,,,1774.767,,,,,,
CAPITAL FORD  INC   27818,T001T27818,NAICS,4411,,,USA,NV,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,7033.697,,11261.315,,,,,22837.314,,,,,11338.33,,,,,4487.343,,69834.421,,,,239.129,,464.178,445.33,,,,1332.934,
CAPITAL FORD  INC   27818,T001T27818,NAICS,4411,,,USA,NV,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,58328.07,,,,,,-789.996,,,,,,
HYUNDAI DE HORMIGUEROS  59805,T001T59805,NAICS,4411,,,USA,,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,7763.859,,5052.844,,,,,16597.015,,,,,5735.508,,,,,2659.811,,23744.336,,,,229.642,,727.823,417.489,,,,677.128,
HYUNDAI DE HORMIGUEROS  59805,T001T59805,NAICS,4411,,,USA,,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,24438.778666667,,,,,,1328.992,,,,,,
HARVEY SUBARU  17889,T001T17889,NAICS,4411,,,USA,LA,UDS 4.0,2023-06-30,USD,Thousands,Consolidated,US GAAP,Audited,Annual,815.799,,1897.401,,,,,5683.751,,,,,3078.801,,,,,1602.31,,21025.015,,,,66.604,,755.804,40.753,,,,1213.332,
HARVEY SUBARU  17889,T001T17889,NAICS,4411,,,USA,LA,UDS 4.0,2022-06-30,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,19204.554,,,,,,1076.401,,,,,,
VANDERSTYNE TOYOTA,T001T31136,NAICS,4411,,,USA,NY,UDS 4.0,2021-04-30,USD,Thousands,Consolidated,US GAAP,Audited,Annual,1547.579,,2656.16,,,,,6166.172,,,,,2353.281,,,,,1565.178,,50873.532,,,,194.559,,1960.86,181.77,,,,2457.474,
VANDERSTYNE TOYOTA,T001T31136,NAICS,4411,,,USA,NY,UDS 4.0,2020-04-30,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,39204.037,,,,,,-323.547,,,,,,
TOWNE TOYOTA  29058,T001T29058,NAICS,4411,,,USA,NJ,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,10771.54,,6429.772,,,,,21073.81,,,,,6802.567,,,,,12319.176,,119448.271,,,,749.33,,4956.347,663.664,,,,7455.224,
TOWNE TOYOTA  29058,T001T29058,NAICS,4411,,,USA,NJ,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,99335.923,,,,,,4191.439,,,,,,
NISSAN CITY OF PORT CHESTER  31454,T001T31454,NAICS,4411,,,USA,NY,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,30.881,,5336.882,,,,,11996.362,,,,,8251.034,,,,,-1918.233,,29366.893,,,,2.858,,-2863.389,240.284,,,,0.0,
NISSAN CITY OF PORT CHESTER  31454,T001T31454,NAICS,4411,,,USA,NY,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,35992.717,,,,,,-2284.953,,,,,,
TOWN TOYOTA  46080,T001T46080,NAICS,4411,,,USA,WA,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,2470.367,,3965.059,,,,,13204.166,,,,,5137.063,,,,,6795.548,,63185.285,,,,305.103,,481.248,342.19,,,,2055.808,
TOWN TOYOTA  46080,T001T46080,NAICS,4411,,,USA,WA,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,67150.982,,,,,,955.323,,,,,,
BENTLEY LOS GATOS  54981  ASTON MARTIN  54979  ROLLS ROYCE  54980  LAMBORGHINI  54982  LOTUS  54835,T001T54981,NAICS,4411,,,USA,CA,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,1834.834,,13143.995,,,,,27116.491,,,,,15289.515,,,,,1827.126,,82164.552,,,,422.143,,739.235,943.906,,,,2534.252,
MARION TOYOTA  12153,T001T12153,NAICS,4411,,,USA,IL,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,1464.371,,4967.226,,,,,14785.91,,,,,4774.411,,,,,7003.852,,49779.664,,,,169.093,,686.514,161.46,,,,2096.278,
MARION TOYOTA  12153,T001T12153,NAICS,4411,,,USA,IL,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,57660.065,,,,,,2173.393,,,,,,
CRONIN TOYOTA  13076  NISSAN  13901  OF RICHMOND,T001T13076,NAICS,4411,,,USA,IN,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,1017.595,,5206.457,,,,,9146.631,,,,,3014.243,,,,,1761.51,,42553.002,,,,53.518,,-909.152,46.542,,,,0.0,
CRONIN TOYOTA  13076  NISSAN  13901  OF RICHMOND,T001T13076,NAICS,4411,,,USA,IN,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,44864.558,,,,,,78.501,,,,,,
MEADE LEXUS OF SOUTHFIELD  62101  LAKESIDE  62130,T001T62101,NAICS,4411,,,USA,MI,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,2665.116,,9249.193,,,,,69230.443,,,,,22695.873,,,,,0.003,,218372.881,,,,2240.939,,-6192.437,772.453,,,,4098.78,
MEADE LEXUS OF SOUTHFIELD  62101  LAKESIDE  62130,T001T62101,NAICS,4411,,,USA,MI,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,202328.759,,,,,,-4861.664,,,,,,
LUM S GMC  36797   FKA LUM S BUICK GMC CADILLAC BUICK TERM  11 2022  CADILLAC TERM  11 2021,T001T36797,NAICS,4411,,,USA,OR,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,192.329,,4339.991,,,,,10705.259,,,,,3890.334,,,,,2903.257,,42149.54,,,,437.801,,-175.307,78.24,,,,94.997,
LUM S GMC  36797   FKA LUM S BUICK GMC CADILLAC BUICK TERM  11 2022  CADILLAC TERM  11 2021,T001T36797,NAICS,4411,,,USA,OR,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,38541.51,,,,,,151.866,,,,,,
RIVERA HONDA  31441,T001T31441,NAICS,4411,,,USA,NY,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,847.931,,7803.215,,,,,13517.812,,,,,6824.862,,,,,2213.677,,62659.78,,,,80.356,,1170.999,116.292,,,,1248.269,
RIVERA HONDA  31441,T001T31441,NAICS,4411,,,USA,NY,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,53189.241,,,,,,1429.774,,,,,,
BILL DUBE HYUNDAI  20823,T001T20823,NAICS,4411,,,USA,MA,UDS 4.0,2022-02-28,USD,Thousands,Consolidated,US GAAP,Audited,Annual,975.574,,1327.747,,,,,4153.094,,,,,1021.304,,,,,997.461,,35648.219,,,,319.608,,1139.233,315.953,,,,1530.065,
BILL DUBE HYUNDAI  20823,T001T20823,NAICS,4411,,,USA,MA,UDS 4.0,2021-02-28,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,22034.801,,,,,,32.09,,,,,,
TOYOTA OF YORK  37126,T001T37126,NAICS,4411,,,USA,PA,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,1419.328,,4159.229,,,,,17731.542,,,,,7919.935,,,,,11358.645,,79969.135,,,,376.782,,2104.927,136.263,,,,5844.794,
TOYOTA OF YORK  37126,T001T37126,NAICS,4411,,,USA,PA,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,87838.474,,,,,,2766.743,,,,,,
HOLMAN AUTOMOTIVE GROUP  00571  10K 10Q,T001T00571,NAICS,4411,,,USA,TX,UDS 4.0,2024-12-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,78830.0,,676484.0,,,,,2966652.0,,,,,883360.0,,,,,817927.0,,4797420.0,,,,46331.0,,79110.0,79945.0,,,,78161.0,
HOLMAN AUTOMOTIVE GROUP  00571  10K 10Q,T001T00571,NAICS,4411,,,USA,TX,UDS 4.0,2023-12-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,3157492.0,,,,,,107134.0,,,,,,
CAPITOL TOYOTA  04426,T001T04426,NAICS,4411,,,USA,CA,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,23785.163,,7095.834,,,,,35463.099,,,,,12257.514,,,,,18499.872,,208865.393,,,,1041.024,,8570.228,780.567,,,,12884.669,
CAPITOL TOYOTA  04426,T001T04426,NAICS,4411,,,USA,CA,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,197979.457,,,,,,8599.53,,,,,,
OAKES TOYOTA  23071,T001T23071,NAICS,4411,,,USA,MS,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,4262.645,,1928.335,,,,,7550.019,,,,,1639.79,,,,,3839.528,,15267.42,,,,8.675,,141.483,14.548,,,,633.149,
OAKES TOYOTA  23071,T001T23071,NAICS,4411,,,USA,MS,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,17688.624,,,,,,212.384,,,,,,
MOSES TOYOTA  47030  MOSES LEXUS  64702,T001T47030,NAICS,4411,,,USA,WV,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,4187.675,,14402.738,,,,,29228.629,,,,,13828.25,,,,,5511.351,,152650.403,,,,866.875,,-741.194,324.151,,,,5157.49,
MOSES TOYOTA  47030  MOSES LEXUS  64702,T001T47030,NAICS,4411,,,USA,WV,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,172055.431,,,,,,1821.5,,,,,,
VICTORY TOYOTA  21110,T001T21110,NAICS,4411,,,USA,MI,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,22978.33,,2989.676,,,,,31393.076,,,,,5869.564,,,,,11361.655,,75958.987,,,,14.993,,1431.453,417.884,,,,1927.777,
VICTORY TOYOTA  21110,T001T21110,NAICS,4411,,,USA,MI,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,73917.226,,,,,,2428.037,,,,,,
PAGE HONDA  21994,T001T21994,NAICS,4411,,,USA,MI,UDS 4.0,2021-07-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,2504.697,,3132.389,,,,,8992.833,,,,,3754.933,,,,,-2384.687,,45952.89,,,,0.0,,-146.014,442.005,,,,434.323,
PAGE HONDA  21994,T001T21994,NAICS,4411,,,USA,MI,UDS 4.0,2020-07-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,37846.121,,,,,,-553.377,,,,,,
PEPPERS CHRYSLER DODGE  JEEP  41890,T001T41890,NAICS,4411,,,USA,TN,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,297.187,,5011.342,,,,,6125.508,,,,,4820.967,,,,,1240.493,,19662.14,,,,0.384,,-194.673,181.116,,,,0.0,
PEPPERS CHRYSLER DODGE  JEEP  41890,T001T41890,NAICS,4411,,,USA,TN,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,24493.239,,,,,,356.045,,,,,,
PASSPORT TOYOTA  19070,T001T19070,NAICS,4411,,,USA,MD,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,2138.315,,5814.861,,,,,27459.356,,,,,7889.784,,,,,13590.659,,107995.366,,,,550.855,,-297.046,480.772,,,,3333.395,
PASSPORT TOYOTA  19070,T001T19070,NAICS,4411,,,USA,MD,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,100484.348,,,,,,618.142,,,,,,
